anas formosa,Baikal Teal;Bimaculate Duck;Squawk Duck,siberonetta,anatidae,palearctic;holarctic,tundra;taiga;lakes;rivers;brackish water;marsh;swamp;bog,VU
anas laysanensis,Laysan Duck;Laysan Teal,ana,anatidae,island endemic,savanna/grassland;lakes,CR
anas platyrhynchos,Mallard Duck,anas,anatidae,cosmopolitan,taiga;savanna/grassland;forest;rainforest;scrub forest;lakes;rivers;coastal,LC
anas querquedula,Garganey teal,anas,anatidae,palearctic,marsh,LC
anas undulata,Yellow-Billed Duck,anas,anatidae,ethiopian,lakes;rivers,LC
anaxyrus americanus,American Toad,anaxyrus,bufonidae,nearctic,rivers;lake,LC
anaxyrus boreas boreas,Boreal Toad,bufo,bufonidae,nearctic,mountain,NE
anaxyrus houstonensis,Houston Toad,anaxyrus,bufonidae,nearctic,savanna/grassland;forest,EN
anaxyrus woodhousii,Woodhouse Toad,anaxyrus,bufonidae,nearctic,forest;river,LC
anodorhynchus hyacinthinus,Hyacinth Macaw,anodorhynchus,psittacidae,neotropical,savanna/grassland;forest,VU
anolis ecomorphs,Hispaniolan Giant Anole,anolis,dactyloidae,nearctic,swamps;forest;suburb,LC
anotheca spinosa,Spiny-Headed Tree Frog,anotheca,hylidae,neotropical,rainforest,LC
anser cygnoides,Swan Goose,anser,anatidae,oriental,lakes,VU
anseranas semipalmata,Magpie Goose,anseranas,anseranatidae,australian,coastal;marsh;swamp;riparian,LC
anthracoceros albirostris,Oriental Pied Hornbill,anthracoceros,bucerotidae,oriental,forest,LC
anthropoides paradiseus,Stanley Crane,anthropoides,gruidae,ethiopian,savanna/grassland,VU
antidorcas marsupialis,Springbok,antidorcas,bovidae,ethiopian,savanna/grassland,LC
antilocapra americana,Pronghorn;American Antelope,antilocapra,antilocapridae,nearctic,savanna/grassland,LC
antilope cervicapra,Blackbuck,antilope,bovidae,oriental,savanna/grassland,NT
aphonopelma hentzi,Brown tarantula,aphonopelma,theraphosidae,nearctic,savanna/grassland,NE
apis mellifera,Italian Honey Bees,apis,apidae,palearctic,forest,NE
aptenodytes patagonicus,King Penguin,aptenodytes,spheniscidae,holarctic,taiga,LC
apteryx mantelli,Northern Brown Kiwi,apteryx,apterygidae,australian,forest;scrub forest,EN
aquila chrysaetos,Golden Eagle,aquila,accipitridae,nearctic;palearctic,forest,LC
ara ararauna,Blue-And-Yellow Macaw,ara,psittacidae,neotropical,rainforest,LC
ara chloropterus,Red-And-Green Macaw;Green-Winged Macaw,ara,psittacidae,neotropical,rainforest,LC
ara glaucogularis,Blue-Throated Macaw;Caninde Macaw;Wagler's Macaw,ara,psittacidae,neotropical,savanna/grassland;forest,CR
ara macao,Scarlet Macaw,ara,psittacidae,neotropical,rainforest,LC
ara militaris,Military Macaw,ara,psittacidae,neotropical,forest;rainforest,VU
ara rubrogenys,Red-Fronted Macaw,ara,psittacidae,neotropical,desert/dune;savana/grassland,EN
aratinga solstitialis,Sun Parakeet;Sun Conure,aratinga,psittacidae,neotropical,rainforest;forest,EN
archosargus probatocephalus,Sheepshead,archosargus,sparidae,atlantic ocean,coastal,NE
arctictis binturong,Binturong,arctictis,viverridae,palearctic,forest,VU
arctitis binturong,Binturong;Bearcat,arctitis,viverridae,oriental,rainforest;forest;savanna/grassland;mountains,VU
ardea alba,Great Egret;Common Egret;Large Egret;Great White Heron,ardea,ardeidae,nearctic,lakes;rivers;coastal;brackish water;marsh;swamp;bog;riparian;estuarin,LC
ardea goliath,Goliath Heron,ardea,ardeidae,ethiopian,lakes;rivers,LC
ardeola speciosa,Javan Pond Heron,ardeola,ardeidae,oriental,lakes;rivers,LC
ardeotis kori,Kori Bustard,ardeotis,otididae,ethiopian;oriental;australian,savanna/grassland;scrub forest,NT
argusianus argus,Great Argus Pheasant,argusianus,phasianidae,oriental,forest,NT
arothron hispidus,Stars And Stripes Puffer,arothron,tetraodontidae,indian ocean;pacific ocean,reef;coastal,NE
ascia monuste,Great Southern White Butterfly,ascia,pieridae,nearctic,marsh;suburban,NE
aspidelaps lubricus,Coral Cobra,aspidelaps,elapidae,ethiopian,scrub forest,NE
aspidites ramsayi,Woma Python,aspidites,pythonidae,australian,desert/dune;scrub forest,EN
astrochelys radiata,Radiated Tortoise,astrochelys,testudinidae,madagascan,forest,CR
ateles fusciceps,Black-Headed Spider Monkey,ateles,atelidae,neotropical,forest;rainforest,CR
ateles geoffroyi vellerosus,Mexican Spider Monkey,ateles,atelidae,neotropical,rainforest,CR
ateles hybridus,Brown Spider Monkey,ateles,atelidae,neotropical,forest;rainforest,CR
atelopus zeteki,Panamanian Golden Frog,atelopus,bufonidae,neotropical,rivers;rainforest;forest,CR
athene cunicularia,Burrowing Owl,athene,strigidae,nearctic;neotropical,desert/dune,LC
